POINT_X,POINT_Y,ORC_0_20cm,CLY_0_20cm
29.008848,-2.78726,,
29.031035,-2.781714,,
29.789773,-2.223285,,
29.825854,-2.101994,,
29.737672,-2.24966,,
29.844528,-2.137683,,
29.843523,-2.260255,,
29.824505,-2.2329,,
28.994253,-2.781438,,
29.369925,-1.051474,,
29.37589,-1.104489,,
29.35814,-1.050607,,
29.343222,-1.098937,,
29.370818,-1.149334,,
29.068743,-2.71399,,
29.754345,-2.414488,,
29.622672,-1.758647,,
29.079616,-2.692072,,
29.153794,-2.773771,,
29.696343,-2.797251,,
29.926073,-1.110934,,
29.568292,-2.200181,,
29.837701,-2.620391,,
29.673391,-1.881929,,
29.882146,-2.218259,,
29.743187,-2.190355,,
28.954416,-2.417675,,
28.991198,-2.419264,,
29.868828,-2.727807,,
29.765208,-2.720889,,
28.862145,-2.353002,,
29.827221,-2.138799,,
29.841363,-2.452671,,
29.868663,-2.092566,,
28.890111,-2.783919,,
29.763184,-2.576501,,
29.754795,-2.003565,,
29.806856,-2.046744,,
29.151231,-2.805593,,
29.650792,-2.260631,,
29.763193,-2.060773,,
29.716335,-2.131025,,
29.613548,-1.983582,,
29.81472,-2.385978,,
29.523823,-2.153828,,
29.996421,-1.327322,,
29.033314,-2.413735,,
29.943711,-2.551002,,
29.899821,-2.816858,,
29.950855,-2.537068,,
29.170335,-2.835698,,
29.610429,-2.670667,,
29.136454,-2.77136,,
29.110589,-2.732677,,
29.118271,-2.707666,,
29.810332,-2.688729,,
29.898919,-1.817675,,
29.868642,-2.739379,,
29.970258,-1.82175,,
28.86536,-2.563106,,
29.979944,-1.992612,,
29.660838,-2.782219,,
29.468546,-2.390372,,
29.91921,-1.888278,,
29.55267,-2.488994,,
29.825356,-1.990767,,
29.687603,-2.475118,,
29.692946,-2.217333,,
29.603255,-2.237113,,
29.472034,-2.101827,,
29.565379,-1.988722,,
29.609595,-2.293518,,
29.158367,-2.748102,,
29.858139,-1.724765,,
29.885535,-1.660952,,
29.681418,-2.224717,,
29.921942,-2.393396,,
29.547557,-1.810831,,
29.971378,-1.673352,,
29.824857,-2.838548,,
29.757544,-2.783207,,
29.939952,-1.717345,,
29.489079,-1.868693,,
29.602019,-1.739667,,
29.83508,-1.73102,,
29.821583,-1.790474,,
29.354265,-2.259409,,
29.449697,-2.518255,,
29.041997,-2.217341,,
29.004677,-1.685564,,
29.204255,-2.813775,,
29.648315,-2.613016,,
29.666828,-2.618933,,
29.01801,-2.717537,,
29.497732,-2.718202,,
28.966091,-2.708433,,
28.970511,-2.768634,,
28.89034,-1.818811,,
29.524059,-2.732551,,
29.282408,-2.289954,,
29.363376,-1.137093,,
28.925916,-2.717,,
29.541214,-2.714748,,
29.634207,-1.878044,,
29.524445,-2.264767,,
28.913758,-1.458199,,
29.038724,-1.385837,,
29.69184,-1.890617,,
29.210398,-1.172472,,
29.08314,-1.169217,,
29.205961,-1.137539,,
29.129169,-1.152327,,
29.65683,-1.807598,,
29.440438,-2.615069,,
29.18691,-2.547297,,
29.394161,-2.425793,,
29.503452,-1.080172,,
29.503172,-2.391716,,
29.798405,-1.33241,,
29.840941,-2.090951,,
29.790479,-2.268829,,
29.776427,-2.323017,,
29.90273,-2.03295,,
29.876132,-1.996949,,
29.743152,-2.100662,,
29.802715,-2.104502,,
29.754504,-2.134642,,
29.995753,-1.138511,,
29.898998,-1.216269,,
29.777405,-2.312558,,
29.979814,-1.111229,,
29.944577,-2.515248,,
29.731325,-2.670315,,
29.725376,-2.569755,,
29.710453,-2.65938,,
29.02975,-2.369898,,
28.994158,-2.70597,,
29.906034,-2.67763,,
29.892198,-2.63892,,
29.841506,-2.720024,,
29.748811,-2.741847,,
29.884398,-2.145548,,
29.920508,-2.126085,,
29.885596,-2.226976,,
28.901188,-2.747438,,
29.922906,-2.040585,,
29.853606,-2.269326,,
29.623769,-1.930737,,
29.932855,-2.007701,,
29.870171,-2.103814,,
29.890786,-2.100929,,
29.851361,-2.399359,,
29.603145,-2.549281,,
29.069781,-2.812827,,
29.994157,-2.102855,,
29.454902,-2.246046,,
29.795075,-1.953145,,
29.497067,-1.849526,,
29.75515,-2.025023,,
29.630355,-2.54422,,
29.636029,-2.710292,,
29.693694,-2.533413,,
29.842545,-1.916858,,
29.530326,-2.161037,,
29.551269,-2.262566,,
29.704973,-2.543315,,
29.696071,-2.582621,,
29.461709,-2.220114,,
29.653103,-2.508214,,
29.806681,-1.204127,,
29.776576,-2.495011,,
29.891224,-1.110437,,
29.694383,-2.638954,,
29.634208,-2.641447,,
29.984776,-2.831645,,
29.070859,-2.407658,,
29.876929,-2.398102,,
29.848179,-1.117135,,
29.038281,-2.423193,,
29.135293,-2.747839,,
29.017694,-2.494491,,
29.979727,-1.527536,,
29.950203,-1.483245,,
29.977755,-1.541935,,
29.887757,-1.673822,,
29.818952,-1.594417,,
29.990188,-2.812878,,
29.890144,-2.375996,,
29.800731,-2.420686,,
29.3951,-2.101874,,
28.872577,-2.090306,,
29.769909,-1.244781,,
29.603849,-2.179708,,
29.677294,-2.211339,,
29.510288,-1.844445,,
29.570205,-2.341551,,
29.77768,-1.841755,,
29.84989,-1.804823,,
29.694104,-2.379454,,
29.644463,-2.114753,,
29.64343,-2.410386,,
29.920527,-2.533955,,
29.553522,-2.016527,,
29.600915,-2.062658,,
29.919321,-1.938477,,
29.59362,-1.872496,,
29.540649,-2.503419,,
29.933065,-2.815177,,
29.908788,-1.964197,,
29.695033,-1.666318,,
29.859424,-1.366296,,
29.484394,-1.856615,,
29.89221,-2.831218,,
29.010256,-2.576927,,
29.570734,-1.794146,,
29.868846,-1.701919,,
29.911819,-2.428976,,
29.106673,-2.566137,,
29.520675,-2.167347,,
29.514024,-1.7814,,
29.708088,-2.084935,,
29.02565,-2.528803,,
29.824489,-1.746063,,
29.733288,-1.572755,,
29.783147,-1.755697,,
29.678551,-1.108533,,
29.061033,-2.083456,,
29.523582,-2.837845,,
29.159564,-1.048798,,
28.910916,-1.28327,,
29.829161,-1.173003,,
29.705787,-1.914324,,
28.96268,-2.491247,,
29.460327,-2.036563,,
29.969429,-1.363007,,
29.999326,-1.060773,,
29.189443,-1.138139,,
29.606146,-1.114793,,
29.071358,-2.623072,,
29.194345,-1.079597,,
29.188127,-1.10187,,
28.916737,-2.441429,,
29.105744,-2.625626,,
29.949811,-1.434352,,
29.629298,-2.589916,,
29.779888,-1.272113,,
29.547596,-2.583647,,
29.452242,-2.282681,,
29.645732,-1.95094,,
29.629234,-1.70445,,
28.936965,-1.694709,,
29.594548,-2.694362,,
29.467259,-2.609926,,
29.438988,-2.649228,,
29.557577,-2.584763,,
29.44546,-2.1562,,
29.66023,-1.831173,,
29.675398,-1.869744,,
29.227381,-2.796553,,
29.383564,-2.300291,,
29.467582,-2.007626,,
29.062957,-2.522623,,
29.480588,-2.017789,,
28.969528,-1.514406,,
28.879765,-1.374134,,
29.419673,-1.958758,,
28.93225,-1.482186,,
29.630942,-1.747999,,
28.998988,-1.354724,,
29.784689,-1.734429,,
29.115913,-1.602098,,
29.997836,-2.685723,,
29.22614,-1.128783,,
29.121284,-1.071322,,
28.904999,-1.798273,,
29.819127,-1.501616,,
29.434642,-1.999757,,
29.235002,-2.305449,,
29.156692,-2.560968,,
29.348145,-2.787662,,
29.046795,-2.518465,,
29.063278,-2.199151,,
29.451546,-2.36129,,
29.662945,-1.667613,,
29.405365,-1.792382,,
28.935049,-1.251919,,
29.042575,-1.173446,,
29.269261,-2.341391,,
28.892252,-1.095534,,
28.874889,-1.836923,,
29.229601,-2.406757,,
28.902125,-1.919609,,
29.257417,-2.413069,,
29.27537,-2.678466,,
29.323489,-2.277323,,
29.352587,-2.528688,,
29.012105,-1.402634,,
29.552401,-1.572223,,
28.918559,-1.867765,,
28.883623,-1.918581,,
29.852778,-2.04386,,
29.90978,-2.025459,,
29.675957,-2.29307,,
29.766689,-2.122459,,
29.531405,-1.783715,,
29.624129,-2.439714,,
29.969887,-1.313454,,
29.478263,-2.309207,,
29.629619,-2.661911,,
29.539836,-2.291354,,
29.815728,-1.888902,,
29.694269,-2.627424,,
29.680587,-2.244664,,
29.871237,-1.98241,,
29.894047,-2.058642,,
29.781717,-1.642696,,
29.628248,-2.258483,,
29.713531,-2.295774,,
29.844339,-1.933999,,
29.041015,-1.467023,,
29.956045,-1.446443,,
29.74614,-2.22119,,
29.997682,-2.042919,,
29.882848,-1.157367,,
29.81794,-2.513176,,
28.943665,-2.414084,,
29.733231,-2.313028,,
29.75762,-2.432782,,
29.771607,-2.199526,,
29.840289,-2.007274,,
29.101423,-2.741139,,
29.846557,-1.693941,,
29.608683,-2.458142,,
29.534327,-2.373252,,
29.813956,-1.676109,,
29.020992,-2.504541,,
29.852012,-2.142945,,
29.03722,-1.509565,,
29.746476,-2.492682,,
28.986596,-1.695027,,
28.982387,-1.684469,,
29.670146,-2.664977,,
29.480695,-2.23706,,
29.687575,-2.619018,,
29.845721,-1.706689,,
29.171696,-2.784708,,
29.64408,-2.660508,,
29.510582,-2.134054,,
29.725018,-1.57652,,
29.614009,-2.830778,,
29.606214,-1.825618,,
29.528946,-1.762546,,
29.648739,-2.595978,,
29.292243,-1.181031,,
29.864593,-2.82248,,
28.954773,-1.095797,,
29.145949,-2.324733,,
29.648874,-1.602584,,
29.04571,-2.767694,,
29.908789,-1.174577,,
29.064873,-2.689212,,
29.404869,-1.92557,,
28.930034,-2.413562,,
29.147917,-2.361455,,
29.5478,-1.9695,,
28.962325,-2.641803,,
29.874485,-1.94343,,
29.112817,-2.751432,,
29.668428,-2.679115,,
29.961455,-2.500381,,
29.202025,-2.239673,,
29.654322,-1.201703,,
28.994837,-1.166121,,
28.979219,-1.262271,,
29.187885,-1.200069,,
28.919646,-1.528431,,
29.885775,-1.229546,,
29.033135,-2.269003,,
29.113897,-2.76695,,
29.124116,-2.804211,,
29.538313,-2.354184,,
28.964374,-2.686528,,
29.168256,-2.289422,,
28.984235,-1.058323,,
29.068815,-1.133609,,
29.160073,-1.124616,,
29.153099,-1.139794,,
28.903604,-2.457772,,
29.939937,-1.229195,,
29.784579,-2.705814,,
28.96055,-2.603651,,
29.873452,-2.780328,,
29.380816,-2.1661,,
29.036647,-2.224825,,
29.961972,-1.066733,,
29.703239,-2.722949,,
29.823708,-2.543714,,
29.785508,-2.686624,,
28.903461,-2.484642,,
29.996508,-1.281579,,
29.12953,-1.242247,,
29.223103,-1.175793,,
29.258524,-2.556632,,
29.091879,-2.77931,,
29.984498,-1.200961,,
29.141912,-1.088721,,
29.963168,-2.744108,,
29.990907,-2.120871,,
29.961764,-1.150437,,
29.681251,-2.737207,,
29.796182,-2.601931,,
29.04618,-2.575918,,
29.073164,-1.192008,,
28.937458,-1.770891,,
29.569298,-2.675879,,
29.715951,-2.730843,,
28.994383,-2.498381,,
28.92697,-2.52125,,
29.574239,-2.703091,,
29.738058,-2.575751,,
29.934235,-2.059219,,
29.986005,-1.520197,,
29.611011,-2.592979,,
29.762959,-2.673022,,
29.545761,-1.831046,,
29.931087,-1.749356,,
29.768346,-1.565888,,
29.981877,-1.728641,,
29.77103,-1.643217,,
29.746111,-2.612133,,
29.374683,-2.080054,,
29.711261,-1.172308,,
29.876553,-1.055315,,
28.894287,-1.797213,,
28.96812,-2.746323,,
28.986787,-2.807913,,
29.790773,-2.734709,,
28.870457,-1.749557,,
28.980703,-1.466229,,
29.77437,-1.093886,,
28.915111,-1.739784,,
28.970323,-2.728769,,
29.402073,-2.081127,,
29.364894,-1.766578,,
29.836005,-1.081457,,
28.876471,-1.800165,,
29.814938,-1.085717,,
29.992816,-1.824846,,
29.701745,-2.236587,,
29.947237,-1.908189,,
29.862826,-2.275482,,
29.599309,-1.774453,,
29.767063,-1.204196,,
28.984947,-2.78367,,
28.972043,-2.806366,,
29.772786,-2.537869,,
29.925092,-2.030278,,
29.794384,-2.583161,,
29.942079,-2.068236,,
29.904278,-2.170249,,
29.423048,-2.305447,,
29.960832,-2.354714,,
29.451007,-1.067699,,
29.426997,-1.082055,,
29.391446,-1.090393,,
29.408493,-1.060062,,
29.826485,-2.28008,,
29.959332,-1.627876,,
29.812386,-2.564381,,
29.908534,-2.110257,,
29.565845,-1.9077,,
29.455563,-2.266466,,
29.616685,-2.012355,,
29.531395,-2.024555,,
29.486318,-1.061885,,
29.405982,-1.110441,,
29.819387,-2.217893,,
29.578569,-1.995509,,
29.793229,-2.342074,,
28.909466,-2.828841,,
29.601727,-2.123356,,
29.806273,-2.401947,,
28.901046,-1.832007,,
29.883997,-1.694987,,
29.810569,-1.409067,,
29.087557,-2.661547,,
29.582791,-2.091552,,
29.828004,-2.390578,,
29.667079,-2.333958,,
29.635415,-2.107215,,
29.425189,-2.157634,,
29.137893,-2.64352,,
29.855131,-1.973535,,
29.85615,-2.629079,,
28.94917,-2.789911,,
28.877056,-2.817774,,
29.38005,-2.247164,,
29.128688,-2.709084,,
29.957904,-1.760604,,
29.55815,-2.563448,,
29.686122,-1.850789,,
28.960032,-1.638963,,
29.495272,-2.674756,,
29.989879,-2.093438,,
29.712417,-2.377973,,
29.522904,-2.590082,,
29.718398,-1.066323,,
29.901013,-2.717442,,
29.581729,-1.703794,,
28.870987,-2.270916,,
28.868398,-2.574415,,
29.815878,-1.53077,,
29.484389,-2.503063,,
29.71743,-2.02397,,
29.135667,-2.381978,,
29.925044,-2.725316,,
29.962101,-2.19647,,
29.259269,-2.352094,,
29.456156,-2.135347,,
28.886624,-2.300865,,
29.220506,-2.358701,,
29.694903,-1.902194,,
29.647716,-1.922096,,
29.411689,-2.450048,,
29.55206,-1.664096,,
28.92385,-2.679522,,
29.592072,-1.958648,,
29.409176,-2.002087,,
29.754143,-1.738048,,
29.79706,-1.911849,,
28.902642,-2.762089,,
29.501176,-1.774476,,
29.232132,-2.621393,,
29.497462,-1.901361,,
29.168723,-2.729016,,
29.466354,-2.625129,,
29.430094,-2.285188,,
29.976087,-1.399672,,
28.888372,-2.151339,,
29.321892,-2.200749,,
29.600894,-1.675436,,
28.869783,-2.660979,,
29.073041,-2.472061,,
29.230425,-2.512642,,
28.968794,-1.864061,,
29.695426,-2.020572,,
29.921064,-2.295171,,
29.438631,-1.801791,,
29.499021,-1.867278,,
29.079304,-2.234752,,
29.487894,-2.219723,,
29.886117,-2.335528,,
29.472021,-2.79908,,
29.395181,-2.45685,,
29.061948,-2.250726,,
28.8743,-2.069602,,
29.45724,-1.140736,,
29.509533,-1.060181,,
29.561679,-1.718147,,
28.871402,-1.53571,,
28.954402,-1.257856,,
29.525333,-1.086803,,
29.48526,-1.115777,,
29.459869,-1.185427,,
29.585606,-2.361888,,
29.52247,-2.130424,,
29.504532,-1.11928,,
29.469943,-1.193865,,
29.518456,-1.692496,,
29.400808,-2.740653,,
29.589271,-1.995936,,
28.935959,-1.160692,,
29.682506,-1.649479,,
29.732058,-1.85705,,
29.182312,-2.736517,,
29.213205,-2.402812,,
29.195781,-1.244351,,
29.601443,-1.83438,,
28.87143,-1.2044,,
29.331769,-2.732232,,
29.536424,-1.539785,,
29.481153,-1.740603,,
29.413977,-2.776647,,
29.873068,-2.357248,,
29.666244,-1.258607,,
29.318885,-1.908254,,
29.725654,-1.807672,,
29.81991,-1.771416,,
29.387954,-1.988031,,
29.707053,-2.170881,,
29.589644,-1.620251,,
29.307546,-2.26512,,
29.096531,-2.046735,,
28.875881,-1.576116,,
29.072543,-1.561389,,
29.088556,-1.539351,,
28.938921,-1.598766,,
28.921324,-1.570083,,
29.356559,-2.561421,,
29.757333,-1.317828,,
29.899001,-2.776491,,
29.32963,-2.659537,,
29.516709,-1.292561,,
29.406684,-1.577669,,
29.075972,-1.368979,,
29.540168,-1.596638,,
29.452351,-1.28345,,
29.243529,-2.540268,,
29.762276,-1.254933,,
29.734218,-1.417592,,
29.1555,-1.550008,,
29.56177,-1.5089,,
29.558148,-1.443247,,
29.050435,-1.999565,,
29.365468,-1.227589,,
29.386186,-1.818478,,
29.386557,-1.8091,,
29.669315,-1.455283,,
29.359551,-2.442106,,
29.752642,-1.348358,,
29.478226,-1.657286,,
29.083855,-1.416568,,
29.371028,-2.663208,,
29.365625,-2.313357,,
29.071785,-2.062143,,
29.614077,-1.048906,,
29.238112,-2.482378,,
29.917092,-1.074409,,
29.40729,-2.824251,,
29.14607,-1.363806,,
29.552351,-1.510741,,
29.318242,-1.850114,,
29.385264,-2.534873,,
29.377595,-2.345577,,
29.83606,-1.248755,,
29.146288,-1.311208,,
29.704144,-1.308718,,
29.210775,-2.266903,,
29.935826,-1.430392,,
29.722997,-1.206054,,
29.304306,-1.13735,,
29.708297,-1.136584,,
28.883232,-1.321541,,
28.966424,-1.267022,,
28.902857,-1.271476,,
28.933474,-1.293249,,
29.517298,-1.170951,,
28.918587,-1.289413,,
29.646167,-1.075457,,
29.302212,-1.049481,,
29.152411,-1.173169,,
29.075722,-1.082216,,
28.986265,-2.49393,,
29.847104,-1.572427,,
28.926847,-1.784669,,
29.794671,-1.546822,,
29.78538,-1.262663,,
28.90875,-1.688997,,
29.759695,-1.113475,,
29.715093,-2.005139,,
29.471274,-2.675979,,
29.75319,-1.772365,,
29.17115,-2.345622,,
29.354829,-1.801697,,
29.315953,-1.806599,,
29.411794,-1.730959,,
29.501016,-1.997316,,
29.706539,-1.948949,,
29.065354,-2.184512,,
29.484809,-1.139429,,
29.515112,-1.104918,,
29.051649,-2.104218,,
29.702797,-1.820012,,
28.9335,-1.439315,,
29.716466,-1.941016,,
29.13123,-1.276968,,
29.710915,-1.43031,,
29.217148,-1.23448,,
29.715168,-1.85589,,
29.102496,-1.559799,,
29.651572,-1.322751,,
29.634932,-1.437651,,
29.33243,-1.664554,,
29.227036,-1.300357,,
29.353761,-1.390032,,
29.210487,-2.623062,,
29.465635,-2.764732,,
29.985619,-1.305175,,
28.945304,-1.177698,,
29.115882,-2.36066,,
29.685059,-1.12851,,
29.598414,-1.690357,,
29.599447,-1.06446,,
28.956588,-1.142048,,
29.269737,-1.207631,,
29.7929,-2.809398,,
29.774088,-1.136804,,
28.899578,-1.398663,,
28.992921,-1.388116,,
29.069627,-1.070785,,
28.94275,-1.318278,,
28.978182,-1.103802,,
29.042908,-1.360085,,
29.246967,-2.273464,,
29.457068,-2.552286,,
29.099934,-1.137835,,
29.098428,-1.276641,,
29.082312,-1.126905,,
29.228444,-2.648616,,
29.085488,-1.251256,,
29.307953,-2.774316,,
29.235661,-2.633857,,
29.099799,-1.115214,,
29.182436,-2.401708,,
29.039139,-1.161422,,
29.143208,-2.370073,,
28.963803,-2.652466,,
29.07618,-1.150615,,
29.59256,-2.645236,,
29.174486,-2.659308,,
29.271549,-2.779059,,
29.111535,-1.071307,,
29.818183,-1.461538,,
29.591039,-2.635983,,
28.889778,-1.627132,,
29.595395,-2.657343,,
29.001478,-1.481978,,
29.597867,-2.669635,,
28.891374,-1.569046,,
29.509038,-2.674309,,
29.474981,-1.110763,,
28.869083,-1.767812,,
28.863837,-1.633513,,
29.399487,-2.128075,,
29.390221,-2.27438,,
29.693212,-1.838946,,
29.396869,-2.370044,,
29.197061,-2.360934,,
29.403786,-2.172173,,
29.687508,-1.819401,,
29.683739,-2.567295,,
29.16872,-2.333233,,
29.446505,-2.129206,,
29.706217,-2.037831,,
29.245687,-2.70859,,
28.928113,-2.306289,,
29.018841,-1.481714,,
29.200185,-2.409722,,
29.250221,-2.191876,,
28.863191,-1.525249,,
28.90146,-1.563038,,
28.878157,-2.010208,,
29.699907,-1.70024,,
29.407984,-1.908524,,
28.996681,-1.419701,,
29.01585,-1.452604,,
28.882896,-1.778723,,
28.970143,-2.574211,,
29.036078,-1.417851,,
29.090528,-1.601293,,
29.937248,-1.827474,,
29.293842,-1.896173,,
29.048666,-2.231048,,
28.979927,-1.575821,,
29.805238,-1.324768,,
29.424791,-1.803064,,
29.441437,-1.329055,,
29.427201,-1.326986,,
29.69354,-1.690748,,
29.061272,-1.23005,,
29.10514,-1.412459,,
29.331451,-1.334922,,
29.079325,-2.040412,,
29.35633,-1.475165,,
29.325838,-1.446221,,
29.567611,-2.779393,,
29.323339,-2.446732,,
29.518221,-1.488592,,
29.155116,-1.444742,,
29.216159,-1.598161,,
29.356997,-1.282275,,
29.667117,-1.990828,,
29.617862,-1.658066,,
29.642326,-2.286474,,
29.665693,-2.119617,,
29.722825,-2.364993,,
29.544347,-2.235356,,
29.637173,-2.464858,,
29.404262,-2.331942,,
29.643479,-1.872284,,
29.78898,-2.487235,,
29.967509,-1.223948,,
29.856527,-1.683285,,
29.615071,-1.949911,,
29.735024,-2.355072,,
29.835681,-2.801015,,
29.759666,-1.845821,,
29.779062,-2.802475,,
29.209374,-2.651197,,
29.638952,-2.381119,,
28.969618,-1.729786,,
29.627667,-2.4764,,
29.651391,-2.586557,,
29.326831,-2.125087,,
28.990115,-1.737331,,
29.209095,-2.8386,,
29.117896,-1.192865,,
29.450614,-2.59542,,
