"","POINT_X","POINT_Y","ORC_0_20cm","CLY_0_20cm","ID","ORCDRC_sd1_M_rwanda","ORCDRC_sd2_M_rwanda","ORCDRC_sd3_M_rwanda","CLYPPT_sd1_M_rwanda","CLYPPT_sd2_M_rwanda","CLYPPT_sd3_M_rwanda"
"1",29.008848,-2.78726,1.27,20.8,"ID1",2,1,1,19,21,23
"2",29.031035,-2.781714,12.5,29.9,"ID2",15,12,10,28,30,33
"3",29.789773,-2.223285,17.5,29.8,"ID3",21,17,13,28,30,32
"4",29.825854,-2.101994,17.5,28.9,"ID4",21,17,13,27,29,32
"5",29.737672,-2.24966,17.5,29.9,"ID5",21,17,13,28,30,33
"6",29.844528,-2.137683,17.5,27.9,"ID6",21,17,13,26,28,31
"7",29.843523,-2.260255,17.5,29.2,"ID7",21,17,13,28,29,32
"8",29.824505,-2.2329,17.5,28.8,"ID8",21,17,13,27,29,31
"9",28.994253,-2.781438,13.3,30.2,"ID9",16,13,10,29,30,33
"10",29.369925,-1.051474,13.3,32.8,"ID10",16,13,10,31,33,35
"11",29.37589,-1.104489,13.3,33.9,"ID11",16,13,10,32,34,37
"12",29.35814,-1.050607,13.3,33.8,"ID12",16,13,10,32,34,36
"13",29.343222,-1.098937,13.3,34.9,"ID13",16,13,10,33,35,38
"14",29.370818,-1.149334,13.3,33.9,"ID14",16,13,10,32,34,37
"15",29.068743,-2.71399,22.6,28.8,"ID15",27,22,17,27,29,31
"16",29.754345,-2.414488,22.6,27.8,"ID16",27,22,17,26,28,30
"17",29.622672,-1.758647,22.6,24.8,"ID17",27,22,17,23,25,27
"18",29.079616,-2.692072,22.6,28.8,"ID18",27,22,17,27,29,31
"19",29.153794,-2.773771,22.6,26.9,"ID19",27,22,17,25,27,30
"20",29.696343,-2.797251,22.6,29.8,"ID20",27,22,17,28,30,32
"21",29.926073,-1.110934,22.6,33.9,"ID21",27,22,17,32,34,37
"22",29.568292,-2.200181,22.6,25.8,"ID22",27,22,17,24,26,28
"23",29.837701,-2.620391,22.6,27.5,"ID23",27,22,17,25,28,30
"24",29.673391,-1.881929,22.6,26.9,"ID24",27,22,17,25,27,30
"25",29.882146,-2.218259,18.5,28.5,"ID25",22,18,14,26,29,31
"26",29.743187,-2.190355,18.5,27.9,"ID26",22,18,14,26,28,31
"27",28.954416,-2.417675,18.5,34.8,"ID27",22,18,14,33,35,37
"28",28.991198,-2.419264,18.5,34.5,"ID28",22,18,14,32,35,37
"29",29.868828,-2.727807,18.5,28.8,"ID29",22,18,14,27,29,31
"30",29.765208,-2.720889,18.5,33.8,"ID30",22,18,14,32,34,36
"31",28.862145,-2.353002,18.5,35.8,"ID31",22,18,14,34,36,38
"32",29.827221,-2.138799,18.5,28.8,"ID32",22,18,14,27,29,31
"33",29.841363,-2.452671,18.5,28.9,"ID33",22,18,14,27,29,32
"34",29.868663,-2.092566,18.5,27.8,"ID34",22,18,14,26,28,30
"35",28.890111,-2.783919,18.5,28.2,"ID35",22,18,14,27,28,31
"36",29.763184,-2.576501,18.5,34.8,"ID36",22,18,14,33,35,37
"37",29.754795,-2.003565,23.6,26.9,"ID37",28,23,18,25,27,30
"38",29.806856,-2.046744,23.6,27.9,"ID38",28,23,18,26,28,31
"39",29.151231,-2.805593,23.6,28.8,"ID39",28,23,18,27,29,31
"40",29.650792,-2.260631,23.6,25.8,"ID40",28,23,18,24,26,28
"41",29.763193,-2.060773,23.6,26.9,"ID41",28,23,18,25,27,30
"42",29.716335,-2.131025,23.6,24.9,"ID42",28,23,18,23,25,28
"43",29.613548,-1.983582,23.6,25,"ID43",28,23,18,24,25,27
"44",29.81472,-2.385978,23.6,27.9,"ID44",28,23,18,26,28,31
"45",29.523823,-2.153828,23.6,24.2,"ID45",28,23,18,23,24,27
"46",29.996421,-1.327322,23.6,32.8,"ID46",28,23,18,31,33,35
"47",29.033314,-2.413735,23.6,32.5,"ID47",28,23,18,30,33,35
"48",29.943711,-2.551002,23.6,34.8,"ID48",28,23,18,33,35,37
"49",29.899821,-2.816858,23.6,36.2,"ID49",28,23,18,35,36,39
"50",29.950855,-2.537068,23.6,35.9,"ID50",28,23,18,34,36,39
"51",29.170335,-2.835698,23.6,27.8,"ID51",28,23,18,26,28,30
"52",29.610429,-2.670667,23.6,27.9,"ID52",28,23,18,26,28,31
"53",29.136454,-2.77136,23.6,28.8,"ID53",28,23,18,27,29,31
"54",29.110589,-2.732677,23.6,28.8,"ID54",28,23,18,27,29,31
"55",29.118271,-2.707666,23.6,26.9,"ID55",28,23,18,25,27,30
"56",29.810332,-2.688729,23.6,33.8,"ID56",28,23,18,32,34,36
"57",29.898919,-1.817675,23.6,24.5,"ID57",28,23,18,22,25,27
"58",29.868642,-2.739379,23.6,28.9,"ID58",28,23,18,27,29,32
"59",29.970258,-1.82175,23.6,22.9,"ID59",28,23,18,21,23,26
"60",28.86536,-2.563106,23.6,31.7,"ID60",28,23,18,29,32,35
"61",29.979944,-1.992612,23.6,27.2,"ID61",28,23,18,26,27,30
"62",29.660838,-2.782219,23.6,27.9,"ID62",28,23,18,26,28,31
"63",29.468546,-2.390372,23.6,25.9,"ID63",28,23,18,24,26,29
"64",29.91921,-1.888278,23.6,25.8,"ID64",28,23,18,24,26,28
"65",29.55267,-2.488994,23.6,25.2,"ID65",28,23,18,24,25,28
"66",29.825356,-1.990767,23.6,27.9,"ID66",28,23,18,26,28,31
