LON,LAT,TEMPC,TEMP.MAXC,TEMP.MINC,PREC,WDSP
6.133,51.6,15,17,12,0,10.3
-8.667,70.933,5.6,7.3,3,1.02,6.8
5.35,59.783,14,15,13,NA,15.8
8.35,54.917,14.9,17,13,NA,15.5
9.517,54.467,13.7,17,11,NA,10.2
10.133,54.367,13.8,18,12,NA,7.9
13.917,54.25,15.8,18.5,13.9,0,18.8
31.4,80.1,0.4,1.2,-1,0,7.8
7.667,53.55,13.1,17,10.8,NA,10.1
8.667,53.767,13.4,18,11,NA,11.2
9.883,53.733,13.9,17.6,11.1,NA,7.6
10.35,54.167,14,17.7,11.8,NA,11.5
14.15,53.867,16.6,19,14,0,12.5
8.167,53.183,13.6,17.1,11.5,NA,7
7.8,64.349,14.2,17,12,NA,17.5
18.933,69.65,11.6,14,10,1.52,5.2
8.35,52.583,13.3,17.4,10.4,NA,10.7
19.5,70.25,10.9,11.8,10.1,0,4.3
9.433,52.467,14.6,18,12.4,NA,9.5
9.083,52.283,14.6,17,12,NA,10.5
10.017,52.6,14.5,18,11,NA,8.5
20.267,69.383,12.1,13.2,11.1,0.76,2.3
7.65,51.25,12.1,14.6,10.3,NA,8.4
7.883,51.583,14.9,17.5,12.4,0,9.5
9.267,51.867,13.4,16.6,10.3,NA,7
22.15,70.483,12.3,13,12,NA,6
20.95,69.783,11.9,13.1,10.7,0,3.5
23.033,69,15,19,12.8,5.08,6.2
13.167,51.767,15,19,10,0,6
23.367,69.983,13.6,16,11.8,0.51,4.4
6.05,50.967,13.4,15,13,NA,6
6.017,50.783,13.3,16.4,11.1,NA,11.7
6.867,50.367,12.5,15.9,9.7,0,7.6
7.2,50.733,14.8,18.1,11.7,NA,5.9
23.983,71.1,11.4,13.1,10.3,0,5.7
23.533,69.567,11.7,13,9.1,2.29,3.9
24.983,70.067,12.3,14,11,4.06,4.5
7.067,50.167,12.2,16,9.6,0,8.1
7.267,49.95,12.7,17,9.9,NA,6.3
11.417,51.85,15.6,19,11,0,13
7.95,49.983,14.8,19.1,10.8,0,5.3
8.633,49.95,12.8,19,7,NA,4.2
25.983,71.017,10.8,13,10,NA,7.3
9.967,49.383,14.4,20,9,0,5.1
10.383,49.467,14.8,20.6,10,0,3.6
10.633,49.317,14.1,19.5,8.7,0,5
11.833,49.217,12.8,21,5.6,0.25,1.7
10.9,48.067,14.2,20,8.9,0,3.9
11.7,48.4,13.4,20.7,6.7,0,2.5
11.786,48.354,14.2,20,8,0,3
2.217,59.567,13.3,15,12,NA,23.7
8.083,66.017,12.8,13,12,NA,30.6
3.717,60.633,13.7,15,13,NA,25.8
2.133,61.45,14.2,16,12,NA,12.4
2.2,61.533,14.1,16,13,NA,9.8
17.5,68.467,13.4,14,13,NA,2.5
9.567,59.183,14.4,16,11,NA,11.5
1.9,58.367,13.2,15,11,NA,32.5
3.61,60.886,14.9,17,13,NA,21.9
13.35,48.55,13.7,19.1,8,0,3.5
8.517,47.967,16.4,20,12,0,6.6
9.517,47.667,14.6,21,8,0,3.1
31.05,70.35,10,NA,NA,NA,9.2
31.1,70.367,10.5,11.2,9.4,0,9.6
13.667,48.1,13.7,18.9,7.9,0,3.6
14,48.567,12.4,18.7,6.6,0,1.7
16.25,47.85,19.6,22,13,0,8.1
14.9,48.1,14.2,22.7,7.8,2.03,1.7
11,65.2,14.6,18.2,12.1,0,15.2
15.033,48.95,12.5,20.6,5.3,2.03,1.7
15.95,48.767,15.9,24.1,8.7,4.06,3.6
15.333,48.333,12.2,17.4,6.8,2.03,7
16.117,48.317,17.4,23.7,9.5,7.11,5.6
16.633,48.667,15.9,21.7,9.8,8.89,2.7
16.367,48.2,18.2,23.4,13.1,7.87,6.6
16.367,48.25,16.7,22.8,11.1,7.87,6.3
16.567,48.117,16.3,21.5,9.9,7.11,6.6
15.95,68.367,13.2,14.5,12.4,0,18.4
14.283,48.3,15.2,21.7,9.7,0,1
12.1,67.517,12,13.3,10.8,5.08,19.6
15.617,48.417,16.3,24.1,8,0,2.2
15.7,48.467,16.2,24.3,8.4,2.03,1.7
15.583,48.033,14,18.9,8.7,2.03,4.1
16.283,48.033,17.7,23.5,12.2,4.06,5.1
9.75,47.5,14.6,20.4,9.2,0,4.9
9.617,47.267,14.6,21.4,7.9,0,1.7
10.317,46.967,12.9,21.5,7.2,0,3.3
12.217,65.467,17.4,23,12,NA,9.9
11.35,47.267,13.2,21.4,6.1,0,2.8
11.033,46.867,6.7,16.4,-0.4,0,1.7
12.167,47.583,13.4,21.7,7.7,0,3.9
13.633,66.9,15.4,20.1,12.4,1.78,6.2
13.217,47.4,12.7,22.8,6.8,0,1.7
13.183,47.317,14.6,22.9,5.4,0,0.8
12.8,47.333,13.8,21.1,6.2,0,2.9
13.45,47.383,11.6,21.8,5.3,0,1.7
13.65,47.1,10.1,20.9,1.4,0,2.9
13.567,47.25,8.1,15.5,1.3,0,5.3
12.483,66.767,12.2,12.6,11.6,11.68,17.2
13,47.8,14.8,21,8.6,0,6.1
13.8,47.9,15.4,21.7,10.4,0,3.4
13.717,47.817,8.4,12.9,3.8,0,NA
14.133,47.533,12.4,21,5.1,0,3.1
12.467,65.967,19.2,22,13,NA,9.1
15.067,47.85,12.4,20.6,6.2,4.06,1.5
15.65,47.45,12.3,17.7,7.8,4.06,3.9
15.783,47.717,8.9,13,3.8,4.06,13.4
16.033,47.517,12.8,16.9,8.8,16,5.1
16.533,47.85,16.6,22.5,11.7,8.89,4.4
16.332,47.2,16.3,22.7,12.6,20.07,2.2
12.617,66.367,13.3,17.7,11.8,0,13.4
13.667,46.6,7.6,10.7,3.2,0,7
13.883,46.617,15,22.5,9,0,4.1
13.217,65.783,19.3,25,13.6,3.56,4.1
14.833,46.767,15.3,23.4,11.2,2.03,1.7
14.333,46.65,15.6,22,9.8,0,3.3
15.433,47,16.7,22.4,12,2.03,3.1
15.467,47.2,9,13,4.8,0.76,11.4
13,46.683,13.6,22.1,6.9,0,1.5
13.217,46.933,13.4,21.7,7.2,0,2.4
15.583,47.067,15.6,20.9,11.4,1.02,1.2
10.317,46.983,6,12.5,-0.7,0,2.2
13.15,47.333,12,21.7,5.3,0,2.2
13,47.217,10.6,19.6,3.3,0,2.4
13.75,47.15,10,21,1.3,0,1.7
13.05,47.783,15.3,23.2,8.6,0,2.4
13.633,47.433,9.6,16.9,2.4,0,2.7
13.617,47.633,13.3,22.7,6.7,0,1.9
14.333,47.733,12.4,21.4,4.7,0,1.7
13.783,47.617,12,22.4,5.3,0,2.2
13.933,47.55,10.8,20.9,3.6,0,1.7
15.9,47.783,15.5,21.5,9.4,5.08,3.6
16.033,47.817,12.3,19.4,7.4,8.89,9.2
15.617,48.183,15.7,23.7,9.1,2.03,5.8
12.4,50.067,13.7,20.4,9.7,1.02,4.5
12.683,49.667,11.8,17.3,8.1,1.78,5.7
15.017,50.767,13.9,19,10,0,4.8
16.082,68.05,13.8,15.5,11.8,2.29,5.6
13.883,67.4,12.9,13.6,12.4,NA,13.7
13.267,49.683,14.5,20,10,0,3.5
13.933,50.55,12.2,20.3,7.8,5.08,13.2
14.517,66.383,19.2,23.7,14.2,2.03,3.9
14.95,66.5,18.7,23.8,15,5.59,4.2
14.033,50.683,13.6,19.4,9.5,7.62,5.7
14.167,50.467,15.4,23.3,8.5,8.13,4.5
14.3,66.367,21.7,24,18,0,5.2
14.25,50.1,14.6,20.4,9,7.11,8.5
14.367,67.267,15.8,19,12,5.08,7.9
14.467,48.95,14.3,21.2,7.9,11.18,3.4
14.433,68.6,13,15.6,11.6,3.05,8.6
14.65,68.15,14.2,16,13.4,0,9.9
14.667,68.25,14.7,15,13,0,16.2
15.017,68.583,13.8,16,12,0,7.3
15.433,49.017,13.4,20.4,6,11.18,2.8
15.717,50.683,9.9,15,6.4,9.91,5.5
15.767,49.583,13.4,20.2,7.2,9.91,4
16.317,50.35,11.5,17.1,8.1,12.45,4.7
16.133,49.1,14.4,21.5,7.2,6.86,2.9
16.082,48.883,15.6,23,8.8,9.65,4.2
17.567,49.317,15.7,21.7,11.5,15.49,3.9
17.2,48.2,18.2,23.2,13.1,7.62,6.8
17.667,48.483,17,22.6,12.1,3.05,7.6
16.683,68.517,12.4,14,11,NA,6.8
18.617,49.233,16.3,20.6,12.7,10.92,2.3
18.6,48.767,17.2,21.9,13.4,3.3,3.4
19.15,48.65,20,25.6,15.6,0.25,2.6
19.6,48.983,9.4,10.8,7.5,1.78,16.2
18.6,49.233,16.4,21,13,0,2.4
20.217,49.2,7.1,9.2,6.1,0.51,7
20.25,49.067,15.9,20.9,11,0,5.1
20.183,48.85,15.9,20.4,12.2,0.51,6.6
20.317,49.033,16.1,21,12.9,0,4.6
21.733,48.667,20.9,26.4,16.9,0,8.8
23.533,68.75,14.2,17.2,11.1,0,7.2
5.267,62.333,14.1,15.1,13.1,0,12.9
6.067,62.183,13.1,16,10,NA,2.1
6.117,62.567,13.3,15.4,11.7,14.22,7.8
16.149,54.2,15.8,19.3,13.2,11.68,7
19.15,52,17.6,21,13,0,7.4
6.533,62.867,13.3,14.8,12.1,0,15.5
17.767,54.417,15.4,20.1,12.5,NA,6.9
6.767,62.65,12.6,15.1,10,0,7.8
18.7,54.4,17.1,22.2,14.3,7.11,10
18.517,54.567,16.3,20.2,13,NA,6.4
18.667,54.25,17.2,20.1,13.4,0,5.1
18.467,54.383,15.9,19,13,NA,6.8
19.133,54.033,16.6,19.5,13.7,NA,9.1
7.417,62.233,13.1,15.3,8.7,12.19,2.8
21.367,54.067,17.9,25.8,13.5,0,7.3
14.233,53.917,15.8,19.5,13,8.64,6.6
14.617,53.4,15.6,19.9,13,7.87,7
15.817,53.783,15,18.5,12.9,NA,8
16.082,53.383,14.4,17.9,12.2,NA,4.8
7.833,63.117,12.4,15,10,NA,8
16.75,53.133,15,19.8,12.1,13.46,4.6
17.55,53.717,15.2,19.7,12.6,18.03,9.7
7.95,63.517,13.3,14.5,12.2,0,15.9
20.35,53.1,16.2,26.3,13.1,0,9.2
20.417,53.767,16.2,26.9,11.7,0.51,5.1
21.583,53.783,18.1,24.6,14,0,7
15.283,52.75,15.2,20.2,11,2.03,4.9
9.85,63.317,13.6,16.3,10.5,6.6,5.2
18.333,52.817,16.9,21,13,0,5.1
19.133,54.033,16.7,20,14,NA,8.8
17.983,53.1,16.3,20,13,NA,5.4
23.617,52.067,17.5,24,14,0,4.6
9.4,64.167,12.7,15.4,11.4,0,11.3
16.2,51.2,16.1,21.4,10.6,6.1,4.9
16.533,51.833,15.6,20.8,10.6,19.3,5.1
10.217,63.967,13.2,16.6,10.3,1.78,NA
16.883,51.1,16,21,11,5.33,4.6
18.083,51.783,16.1,21.2,11.6,2.03,6.1
9.667,62.6,12.7,17.5,8.9,1.02,5.6
19.183,51.55,15.2,21.6,10.9,NA,5.5
18.567,51.217,15.5,22.4,11.1,2.54,3.9
19.867,51.35,15.9,26.6,11.9,4.32,5.8
21.22,51.38,15.9,20,11,NA,7.6
22.4,51.217,15.8,24.2,14.1,0,4.6
23.533,51.55,17.3,23.2,14.7,0,5.3
15.733,50.733,5.3,8.5,3,5.08,10
10.183,62.95,12.9,16.7,7.5,4.83,3
