MajorLithC	freq	token
""	1919131	3
01	743	3
03	4	1
04	27	0
07	129	3
08	462	3
09	4	1
10	3	1
13	28	0
14	3	3
15	243	3
16	1	1
17	16	3
18	22	3
19	2839	0
20	7652	0
21	987	0
22	390	0
23	1349	0
99	403	3
AAAA	6	3
ACIG	5	3
ACVC	14	3
ADML	27	3
AFCH	1	1
AGLC	6	3
AGLM	37	0
AGLR	2	3
ALBL	1	1
ALBM	2	1
ALBN	3	0
ALBS	1	1
ALBT	11	0
ALBU	27	3
ALDG	6	1
ALKS	1	3
ALKU	1	0
ALLV	480	0
ALRD	2	3
ALSK	2	1
ALUM	22	3
ALVL	88	3
ALVM	1570	0
ALWD	6	0
AMPB	5	3
AMPH	1034	3
AND	1	3
ANDS	242	3
ANHY	5	1
ANRT	44	3
AOIL	2	4
AOLN	6	0
APLT	8	3
APTT	1	1
AQFR	125	0
ARGL	29	3
ARKS	190	3
ASH	358	0
ASHV	57	0
ASLN	1	0
ASYT	2	1
BA	247	3
"BA,CI"	2	0
"BA,CL"	8	0
"BA,DO"	1	1
"BA,DO,QU"	1	1
"BA,GN"	1	1
"BA,LA"	1	0
"BA,MS"	3	0
"BA,QU"	22	3
"BA,QU,CL"	1	0
"BA,QU,GN"	3	1
"BA,QU,LS,SA"	1	1
"BA,QU,SH"	1	0
"BA,SA"	1	0
"BA,SCH"	5	3
"BA,SS"	1	0
BAAN	1	1
BAND	9	3
BAR	8	1
BARI	1	1
BARS	1	0
BASE	275	3
BCDR	1	4
BCKS	2	1
BCLC	14	0
BCPD	12	3
BCVC	4	3
BDLR	1	1
BDRK	914	3
BDST	9	0
BECH	41	3
BIFM	3964	3
BIOT	11	3
BITM	184	0
BJCN	28	3
BKBN	220	3
BKED	1	0
BKST	256	3
BLBN	172	3
BLCK	23	3
BLDR	1583	0
BLML	213	3
BLND	3	0
BLNG	1	0
BLSN	19	3
BLST	289	3
BLUE	10	3
BNDD	5	3
BNDS	32	3
BNJN	1	4
BNST	963	3
BNTN	24	0
BORE	1	4
BORK	1	4
BOTT	29	0
BRBN	591	3
BRCB	5	0
BRCC	347	3
BREC	713	3
BRGT	3	0
BRKN	446	0
BRNT	1	1
BRRC	1	1
BRTL	1	1
BRWN	41	3
BSLC	15	3
BSLT	27887	3
BSMT	24	3
BTTM	3	3
BUFF	2	0
BUXT	59	3
C	9	3
"C,SH"	1	1
CA	66	3
"CA,SC"	1	0
