Descriptio	freq	token
""	5682	4
*old strata* : basalt(195)	502	2
*old strata* : blue clay( 15)	125	0
*old strata* : brown carbonaceous clay( 116)	300	0
*old strata* : brown carbonaceous silty clay( 113)	107	0
*old strata* : brown clay cont coal( 116)	129	0
*old strata* : brown clay( 11)	5161	0
*old strata* : brown clayey sand( 214)	152	0
*old strata* : brown clayey silt( 314)	172	0
*old strata* : brown coal( 0 0)	170	2
*old strata* : brown sandy clay( 112)	818	0
*old strata* : brown silt( 31)	247	0
*old strata* : brown silty clay( 113)	2350	0
*old strata* : cemented sand( 2)	189	0
*old strata* : clay sandy( 2 4)	125	0
*old strata* : clay( 1)	3485	0
*old strata* : clayey sand( 2 4)	3663	0
*old strata* : clayey silt( 3 4)	1423	0
*old strata* : clayey silt(193 4)	131	0
*old strata* : coal - brown( 0 0)	377	2
*old strata* : coal - brown( 10 0)	175	2
*old strata* : coal - brown( 20 0)	138	2
*old strata* : coal - brown( 50 0)	106	2
*old strata* : coal - brown( 60 0)	120	2
*old strata* : coal - brown(100 0)	243	2
*old strata* : coal - brown(110 0)	113	2
*old strata* : coal brown( 0 0)	1605	2
*old strata* : coal brown( 10 0)	863	2
*old strata* : coal brown( 20 0)	335	2
*old strata* : coal brown( 40 0)	863	2
*old strata* : coal brown( 50 0)	709	2
*old strata* : coal brown( 60 0)	544	2
*old strata* : coal brown( 70 0)	505	2
*old strata* : coal brown( 80 0)	608	2
*old strata* : coal brown(100 0)	200	2
*old strata* : coal brown(110 0)	207	2
*old strata* : coal brown(230 0)	185	2
*old strata* : coal brown(240 0)	104	2
*old strata* : coal dry( 80 0)	198	2
*old strata* : coal hard( 80 0)	122	2
*old strata* : coal wet( 80 0)	226	0
*old strata* : coal( 0 0)	299	2
*old strata* : coal( 10 0)	409	2
*old strata* : coal( 20 0)	163	2
*old strata* : coal( 40 0)	125	2
*old strata* : coarse sand( 2)	1704	0
*old strata* : coarse sandy clay( 1 2)	294	0
*old strata* : decomposed basalt(195 3)	207	0
*old strata* : fine sand( 2)	1765	0
*old strata* : fine sandy clay( 1 2)	181	0
*old strata* : gravel( 4)	370	0
*old strata* : gravelly clay( 1 5)	141	0
*old strata* : grey clay( 14)	6506	0
*old strata* : grey clayey sand( 244)	260	0
*old strata* : grey clayey silt( 344)	179	0
*old strata* : grey sand( 24)	116	0
*old strata* : grey sandy clay( 142)	1159	0
*old strata* : grey silty clay( 143)	1172	0
*old strata* : inferior coal( 0 7)	3102	2
*old strata* : inferior coal( 10 7)	888	2
*old strata* : inferior coal( 20 7)	336	2
*old strata* : inferior coal( 40 7)	695	2
*old strata* : inferior coal( 50 7)	414	2
*old strata* : inferior coal( 60 7)	417	2
*old strata* : inferior coal( 70 7)	411	2
*old strata* : inferior coal( 80 7)	895	2
*old strata* : inferior coal(100 7)	236	2
*old strata* : inferior coal(110 7)	135	2
*old strata* : inferior coal(230 7)	101	2
*old strata* : light brown clay( 11)	147	0
*old strata* : light brown silty clay( 113)	100	0
*old strata* : ligneous clay( 0 8)	8066	0
*old strata* : ligneous clayey silt( 3 4)	189	0
*old strata* : ligneous sandy clay( 0 8)	385	0
*old strata* : ligneous silt( 3 6)	190	0
*old strata* : ligneous silty clay( 0 8)	594	0
*old strata* : medium grained sand( 2)	219	0
*old strata* : medium sand( 2)	530	0
*old strata* : mottled clay( 19)	3035	0
*old strata* : mottled clayey sand( 294)	367	0
*old strata* : mottled sandy clay( 192)	1227	0
*old strata* : mottled silty clay( 193)	259	0
*old strata* : sand( 2)	7149	0
*old strata* : sandstone( 7 0)	267	0
*old strata* : sandstone(187 0)	151	0
*old strata* : sandy clay( 1 2)	5211	0
*old strata* : sandy silt( 3 2)	650	0
*old strata* : sandy soil( 8 7)	364	0
*old strata* : silt( 3)	638	0
*old strata* : silty clay( 1 3)	4251	0
*old strata* : silty clay(191 3)	121	0
*old strata* : silty sand( 2 3)	1192	0
*old strata* : soil( 8)	2625	0
*old strata* : strata not recorded( ---)	466	4
*old strata* : subsoil( 8 4)	114	0
*old strata* : topsoil( 8)	295	0
*old strata* : weathered basalt(195 2)	144	0
*old strata* : wet sand( 2)	135	0
*old strata* : white clay( 13)	246	0
*old strata* : yellow and grey clay( 19)	196	0
*old strata* : yellow clay( 12)	396	0
*old strata* : yellow clayey sand( 224)	111	0
*old strata* : yellow sand( 22)	138	0
*old strata* : yellow sandy clay( 122)	192	0
125mm pvc	112	4
AA	1055	4
Alluvium	214	0
Andesite	107	2
AS ABOVE	3586	0
As above	472	0
AS ABOVE.	284	0
Basalt	37078	2
Basalt & aquifer	104	2
Basalt & clay	178	0
Basalt & soapstone	106	2
Basalt (hard)	151	1
Basalt and clay	187	0
Basalt ash	125	0
Basalt black	343	2
Basalt black water supply	113	0
Basalt blue	173	2
Basalt boulder	151	0
Basalt boulders	458	0
Basalt broken	470	0
Basalt broken water supply	360	0
Basalt clay	138	0
Basalt decomposed	884	0
Basalt decomposed water supply	241	0
Basalt fractured	157	0
Basalt fractured water supply	182	0
Basalt grey	277	2
Basalt hard	1626	1
Basalt hard water supply	117	0
Basalt honeycomb	127	2
Basalt rock	185	2
Basalt rotten	100	0
Basalt soft	349	0
Basalt very hard	201	1
Basalt water bearing	131	0
Basalt water supply	1606	0
Basalt weathered	457	0
"Basalt, blue"	206	2
"Basalt, broken"	230	0
"Basalt, decomposed"	268	0
"Basalt, grey"	203	2
"Basalt, hard"	359	1
"Basalt, red"	146	2
"Basalt, soft"	175	0
"Basalt, water bearing"	302	0
"Basalt, weathered"	402	0
Basalt/blue	131	2
Basaltic clay	774	0
Basement	222	2
Bassalt	136	2
Bauxite	126	2
Bedrock	1085	1
BIF AS ABOVE	104	2
Black basalt	783	2
Black clay	2783	0
BLACK CLAY	552	0
Black clay.	288	0
Black coal	381	2
Black loam	107	0
Black mud	118	0
BLACK MUD	114	0
Black mudstone	118	2
Black sand	564	0
Black sand.	118	0
Black sandy clay	192	0
Black shale	2521	2
Black shale.	234	2
Black silty clay	120	0
Black slate	332	2
BLACK SLATE	134	2
Black soil	1642	0
Black top soil	510	0
Black topsoil	795	0
Blacksoil	500	0
Blue basalt	1690	2
Blue clay	1831	0
BLUE CLAY	631	0
Blue grey clay	127	0
Blue marl	111	2
Blue metal	276	2
Blue mudstone	219	2
BLUE ROCK	506	2
Blue rock	445	2
Blue sandstone	463	0
Blue sandy clay	167	0
Blue sandy shale	264	0
Blue shale	3880	2
BLUE SHALE	207	2
BLUE SLATE	706	2
Blue slate	125	2
Blue stone	397	2
Bluestone	2188	2
Boulders	625	0
Br gry zc moist	285	0
Br zc dry	166	4
Br zc moist	350	0
Broken basalt	1922	0
Broken granite	106	0
Broken limestone	137	0
BROKEN QUARTZITE	141	0
Broken rock	395	0
BROKEN ROCK	245	0
Broken sandstone	219	0
Broken shale	136	0
